Owner        Size       Last_Modify_Time Name                                              
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.41                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.42                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.43                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.44                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.45                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.46                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.47                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.48                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.49                             
informix       976.56M  Aug 13  01:05    /ach_dat2/ach_dat2.5                              
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.50                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.51                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.52                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.53                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.54                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.55                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.56                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.57                             
informix       976.56M  Feb 07  2016     /ach_dat2/ach_dat2.58                             
informix       976.56M  Apr 08  2016     /ach_dat2/ach_dat2.59                             
informix       976.56M  Jun 04  00:24    /ach_dat2/ach_dat2.6                              
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.60                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.61                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.62                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.63                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.64                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.65                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.66                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.67                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.68                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.69                             
informix       976.56M  Dec 04  2016     /ach_dat2/ach_dat2.7                              
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.70                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.71                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.72                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.73                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.74                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.75                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.76                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.77                             
informix       976.56M  Apr 03  2016     /ach_dat2/ach_dat2.78                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.79                             
informix       976.56M  Jun 04  00:43    /ach_dat2/ach_dat2.8                              
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.80                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.81                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.82                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.83                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.84                             
informix       976.56M  Sep 03  00:39    /ach_dat2/ach_dat2.85                             
informix       976.56M  Sep 03  01:21    /ach_dat2/ach_dat2.86                             
informix       976.56M  Oct 01  00:57    /ach_dat2/ach_dat2.87                             
informix       976.56M  Oct 01  01:19    /ach_dat2/ach_dat2.88                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.89                             
informix       976.56M  Jun 04  00:53    /ach_dat2/ach_dat2.9                              
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.90                             
informix       976.56M  Oct 01  01:29    /ach_idx1/ach_idx1.1                              
informix       976.56M  Apr 08  2016     /ach_idx1/ach_idx1.2                              
informix       976.56M  Apr 03  2016     /ach_idx1/ach_idx1.3                              
informix       976.56M  Apr 03  2016     /ach_idx1/ach_idx1.4                              
informix       976.56M  Jan 28  2016     /ach_idx1/ach_idx1.5                              
informix       976.56M  Jan 28  2016     /ach_idx1/ach_idx1.6                              
informix       976.56M  Oct 01  01:19    /ach_idx2/ach_idx2.1                              
informix       976.56M  Jan 28  2016     /ach_idx2/ach_idx2.2                              
informix       976.56M  Jan 28  2016     /ach_idx2/ach_idx2.3                              
informix       976.56M  Oct 01  01:55    /ach_temp/ach_temp.1                              
informix      1000.00M  Jan 28  2016     /ach_temp/ach_temp.2                              
informix       976.56M  Oct 05  13:05    /ix_dat4/ix_dat4.1                                
informix       976.56M  Oct 05  20:45    /ix_dat4/ix_dat4.10                               
informix       976.56M  Aug 10  09:31    /ix_dat4/ix_dat4.11                               
informix       976.56M  Sep 06  11:18    /ix_dat4/ix_dat4.12                               
informix       976.56M  Oct 05  20:45    /ix_dat4/ix_dat4.2                                
informix       976.56M  Nov 16  2016     /ix_dat4/ix_dat4.3                                
informix       976.56M  Oct 05  20:45    /ix_dat4/ix_dat4.4                                
informix       976.56M  Oct 05  20:45    /ix_dat4/ix_dat4.5                                
informix       976.56M  Oct 05  20:45    /ix_dat4/ix_dat4.6                                
